gene,source,drug
ABCB1,NCI,SIROLIMUS
CYP2C19,DTC,DOCEBENONE
SCN8A,ChemblInteractions,EVENAMIDE
PSMD14,DTC,CHEMBL1453126
AGTR1,GuideToPharmacology,IRBESARTAN
,TTD,
MELK,GuideToPharmacology,
MET,ChemblInteractions,MGCD-265
YWHAG,DTC,DOXORUBICIN HYDROCHLORIDE
GABRA2,GuideToPharmacology,MK-0777
CERK,GuideToPharmacology,
THPO,DTC,CHLORPROMAZINE
CHRNA4,TTD,
AKT1,MyCancerGenomeClinicalTrial,OMIPALISIB
FFAR1,GuideToPharmacology,
KCNH2,DTC,CHEMBL581187
CYP3A4,DTC,4-CHLOROMERCURIBENZOIC ACID
ERG,DTC,N-ACETYLASPARTIC ACID
HTR2A,TdgClinicalTrial,METHYSERGIDE
OPRD1,GuideToPharmacology,TRAMADOL
PIK3R4,MyCancerGenome,PF-04691502
GABRP,ChemblInteractions,CLOBAZAM
ERBB4,GuideToPharmacology,IBRUTINIB
GSTM1,NCI,CURCUMIN
CHEK1,ChemblInteractions,XL-844
TACR3,TTD,
KDM4E,DTC,CHEMBL310934
ADORA2B,GuideToPharmacology,PICLIDENOSON
MLANA,NCI,
SMO,CIViC,
DRD2,ChemblInteractions,MESORIDAZINE BESYLATE
FER,DTC,HESPERADIN
CYP2D6,DTC,U-0126
,TALC,
ACKR3,GuideToPharmacology,PLERIXAFOR
GFAP,NCI,STAUROSPORINE
RGS4,DTC,DOCOSAPENTAENOIC ACID
SSTR5,GuideToPharmacology,
ERBB2,JAX-CKB,
PRKCI,GuideToPharmacology,STAUROSPORINE
FGFR2,MyCancerGenomeClinicalTrial,
HLA-DRA,PharmGKB,CLAVULANIC ACID
DRD2,GuideToPharmacology,
TRPM6,GuideToPharmacology,
TYR,TTD,
,TALC,ALVESPIMYCIN
BRAF,JAX-CKB,
PIK3CA,MyCancerGenome,
NOS1,NCI,
RORC,DTC,CETYLPYRIDINIUM BROMIDE
FAAH,GuideToPharmacology,
PPARG,DTC,CHEMBL1833984
PRMT5,GuideToPharmacology,
ADD1,PharmGKB,HYDROCHLOROTHIAZIDE
RAB9A,DTC,CHEMBL428789
ACVR2B,TdgClinicalTrial,RAMATERCEPT
TEK,DTC,GW559768X
AVPR1A,GuideToPharmacology,
HLA-B,PharmGKB,STAVUDINE
TYRO3,DTC,MLN-8054
EHMT2,DTC,NIMESULIDE
GSTP1,PharmGKB,
HCRTR1,GuideToPharmacology,OREXIN B
PIK3C2A,MyCancerGenome,BUPARLISIB
DRD2,TTD,MESORIDAZINE
AR,DTC,SPARFLOXACIN
KCNH2,DTC,CHEMBL588501
,TTD,
NDUFB8,ChemblInteractions,METFORMIN HYDROCHLORIDE
TYR,TTD,
EGFR,MyCancerGenomeClinicalTrial,CHEMBL3397300
FDPS,TTD,RISEDRONIC ACID
PIK3C2A,MyCancerGenome,GSK-2636771
CYP3A4,DTC,CAULIBUGULONE B
CCNE1,CIViC,
CYP1A2,DTC,MELATONIN
PRRC2A,PharmGKB,CARBOPLATIN
NEK4,DTC,SNS-314
TBXA2R,GuideToPharmacology,
HTR1D,GuideToPharmacology,
ABL1,TTD,
CACNA1S,ChemblInteractions,AMLODIPINE BESYLATE
MET,JAX-CKB,GOLVATINIB
KRAS,JAX-CKB,CI-1040
RAMP1,TEND,PRAMLINTIDE
CHRND,ChemblInteractions,RAPACURONIUM BROMIDE
MET,CIViC,ONARTUZUMAB
WRN,NCI,BLEOMYCIN
PGR,TTD,ULIPRISTAL
PRCP,TTD,
PDE2A,GuideToPharmacology,MILRINONE
DRD3,GuideToPharmacology,
KDM4A,DTC,2-MERCAPTONICOTINIC ACID
HDAC3,TTD,
PTGFR,GuideToPharmacology,ILOPROST
HBB,PharmGKB,
VWF,NCI,O-CHLOROACETYLCARBAMOYLFUMAGILLOL
SSTR3,ChemblInteractions,OCTREOTIDE ACETATE
ATXN2,DTC,CHEMBL1546228
CA2,TTD,
HCRTR2,TTD,
IL11,NCI,FLUOROURACIL
MOB3B,PharmGKB,
TACR1,DTC,CASOPITANT
,TTD,
HCRTR2,GuideToPharmacology,
CYP1A2,DTC,CHEMBL2094549
GABRA2,PharmGKB,COCAINE
SLCO2B1,PharmGKB,PRAVASTATIN
RXFP2,GuideToPharmacology,
HTR2A,GuideToPharmacology,MESULERGINE
TUBB6,ChemblInteractions,VINBLASTINE SULFATE
MAPT,DTC,THIOLUTIN
MBP,TTD,
AVPR1A,TTD,SELEPRESSIN
KDM6B,GuideToPharmacology,
ATAD5,DTC,CHEMBL16685
HTR7,GuideToPharmacology,
CYP2C19,PharmGKB,ATORVASTATIN
BCR,PharmGKB,
NFE2L2,DTC,MEDROXYPROGESTERONE ACETATE
RAF1,OncoKB,COBIMETINIB
,TTD,LIRILUMAB
JAK3,ChemblInteractions,TOFACITINIB CITRATE
AR,DTC,HYDROCORTISONE BUTYRATE
CYP3A4,DTC,CHEMBL476501
TRPC4,GuideToPharmacology,
DDIT3,PharmGKB,CELECOXIB
SMAD3,DTC,VINCRISTINE
BAZ2B,DTC,CHEMBL402456
CHRM3,TTD,SOLIFENACIN
KDM4E,DTC,PENTETIC ACID
ABL1,TdgClinicalTrial,IMATINIB
ADORA3,GuideToPharmacology,APADENOSON
BIRC5,NCI,TRETINOIN
YES1,DTC,GW833373X
HTR2C,GuideToPharmacology,RITANSERIN
GABRA1,TdgClinicalTrial,ZALEPLON
BAX,NCI,CIPROFLOXACIN
SMAD3,DTC,CHEMBL591618
GABRA1,TdgClinicalTrial,CINOLAZEPAM
NPR3,TdgClinicalTrial,
NFE2L2,DTC,MORICIZINE HYDROCHLORIDE
CALCA,TTD,
MAOB,TTD,
FLT1,PharmGKB,SUNITINIB
CHRM3,TdgClinicalTrial,FESOTERODINE
ADRA1D,TEND,PRAZOSIN
KDR,GuideToPharmacology,GOLVATINIB
CDK4,GuideToPharmacology,
RET,TTD,
MAP3K12,GuideToPharmacology,
RET,OncoKB,PRALSETINIB
HSD17B10,DTC,MALATHION
HIPK4,DTC,ERLOTINIB
RECQL,DTC,CHEMBL576409
ATAD5,DTC,CHEMBL527620
JAK1,ChemblInteractions,CERDULATINIB
MAPK8,NCI,GEFITINIB
KCNV2,ChemblInteractions,GUANIDINE HYDROCHLORIDE
TNF,PharmGKB,ETHAMBUTOL
CHRM4,GuideToPharmacology,
MYC,NCI,
CYP2B6,GuideToPharmacology,THIOTEPA
NOX5,GuideToPharmacology,
SCN5A,ChemblInteractions,BENOXINATE HYDROCHLORIDE
PIK3CA,JAX-CKB,FULVESTRANT
CBX1,DTC,SENNOSIDE B
PDE10A,TTD,
BACE2,GuideToPharmacology,
BAZ2B,DTC,CHEMBL1546228
KCNH1,GuideToPharmacology,
NTRK1,NCI,ANDROSTANOLONE
ESR2,TdgClinicalTrial,
SIGMAR1,TTD,
CACNG6,ChemblInteractions,PREGABALIN
ADRA1D,TdgClinicalTrial,
SLC6A4,GuideToPharmacology,DOXEPIN
BAZ2B,DTC,CHEMBL530049
HCRTR2,TTD,
BTK,GuideToPharmacology,TIRABRUTINIB
KCNJ1,TTD,
PTH,NCI,LYCOPENE
PPP1R13L,PharmGKB,GEMCITABINE
SCN9A,TTD,
AQP6,GuideToPharmacology,
TUBA3E,DTC,MAYTANSINOL
SPG7,PharmGKB,
PSEN2,DTC,CHEMBL392068
MS4A1,ChemblInteractions,RITUXIMAB
ANO1,GuideToPharmacology,
TAOK1,DTC,TOZASERTIB
KAT2A,DTC,TETRADECYLTHIOACETIC ACID
ALDH1A1,DTC,SILIBININ
KRAS,JAX-CKB,
PDGFRB,ChemblInteractions,TAK-593
MITF,DTC,CHEMBL609606
PIK3C3,MyCancerGenome,DACTOLISIB
TUBB4B,ChemblInteractions,DAVUNETIDE
PIK3CB,TdgClinicalTrial,RIGOSERTIB
GALR1,GuideToPharmacology,
BCL2L1,ChemblInteractions,NAVITOCLAX
GMNN,DTC,CHEMBL528724
PTEN,JAX-CKB,LINSITINIB
RRM1,TEND,CLOFARABINE
PTPRC,NCI,
CYP3A4,GuideToPharmacology,VOXELOTOR
CNR1,PharmGKB,HALOPERIDOL
MBP,NCI,CYCLOSPORINE
SCN3A,ChemblInteractions,QUINIDINE GLUCONATE
PTGS1,TTD,SUPROFEN
ABCB1,NCI,CLARITHROMYCIN
PSMB5,GuideToPharmacology,IXAZOMIB
GRIK1,GuideToPharmacology,
CHRM1,TdgClinicalTrial,PROCYCLIDINE
NT5E,TTD,
PDE4C,ChemblInteractions,DIPYRIDAMOLE
E2F1,NCI,ACETYLCYSTEINE
AKT3,MyCancerGenomeClinicalTrial,MK-2206
ABCB1,PharmGKB,MEFLOQUINE
OPRM1,GuideToPharmacology,ALVIMOPAN
MTNR1B,TEND,RAMELTEON
SMAD2,NCI,BLEOMYCIN
HPGD,DTC,PYRITHIONE ZINC
ATXN2,DTC,HELENALIN
PTGER4,TTD,
TMEM97,TTD,
GHR,GuideToPharmacology,
CSF2,NCI,AMIKACIN
PIK3R3,MyCancerGenome,SONOLISIB
SLC22A12,ChemblInteractions,LESINURAD
APOA5,PharmGKB,LOVASTATIN
GRM5,TTD,
EDN1,NCI,CELECOXIB
GABRA2,ChemblInteractions,CLONAZEPAM
THPO,DTC,SOBUZOXANE
HTR2B,GuideToPharmacology,
TUBB8,DTC,CYCLOSTREPTIN
MAP2K3,GuideToPharmacology,
PIK3R2,ChemblInteractions,GSK-1059615
HDAC11,DTC,TRICHOSTATIN
ERBB2,JAX-CKB,
HTR3B,TdgClinicalTrial,
CYP2C9,DTC,DICLOFENAC
NTRK2,TTD,
OPRK1,TTD,CHEMBL300662
,TTD,
CSNK1D,GuideToPharmacology,
EHMT2,DTC,IMETIT
YES1,DTC,GW680975X
CHRM2,GuideToPharmacology,TRIPITRAMINE
TYK2,GuideToPharmacology,ZOTIRACICLIB
TACR2,GuideToPharmacology,
GPR55,GuideToPharmacology,
POLI,DTC,CHEMBL258756
HSP90AA1,MyCancerGenome,
S1PR1,TTD,
GABRG1,ChemblInteractions,ALPRAZOLAM
ALDH1A1,DTC,CHEMBL17329
AKR1B1,TTD,FIDARESTAT
TLR9,TTD,
GRM6,GuideToPharmacology,
GCGR,GuideToPharmacology,MK-0893
NR3C1,TdgClinicalTrial,BECLOMETHASONE
C3,TTD,
CYP2B6,PharmGKB,ARTEMETHER
UGT2B7,PharmGKB,OXAZEPAM
,TTD,
ADRA1A,ChemblInteractions,CARVEDILOL
TSG101,DTC,DIPYRIDAMOLE
CHKA,ChemblInteractions,TCD-717
,TALC,
IDO1,TTD,
ARSA,PharmGKB,METHYLPHENIDATE
HNF4A,PharmGKB,LAMOTRIGINE
CDA,NCI,DEOXYCYTIDINE
FEN1,DTC,CHEMBL533082
GPR18,GuideToPharmacology,CANNABIDIOL
MAPT,DTC,CHEMBL403741
GABRG3,TdgClinicalTrial,FLUDIAZEPAM
MLNR,GuideToPharmacology,
,TTD,DERAZANTINIB
ALDH1A1,DTC,NIFEDIPINE
PPP1CA,TTD,CANTHARIDIN
CNR1,TTD,
IMPDH1,TEND,
CTSB,TTD,
PSMB2,TdgClinicalTrial,OPROZOMIB
IL6,NCI,LINEZOLID
CACNA1G,ChemblInteractions,PHENSUXIMIDE
F9,NCI,COUMARIN
CYP51A1,TTD,
CYP3A4,DTC,CYTARABINE
RAF1,GuideToPharmacology,CHEMBL1794051
POLI,DTC,EPIRUBICIN HYDROCHLORIDE
PTK2,DTC,HESPERADIN
CRTC1,ClearityFoundationClinicalTrial,
HSD11B1,TTD,
FDPS,TTD,ALENDRONIC ACID
TDO2,TTD,
FGF4,TdgClinicalTrial,
CYP3A4,DTC,ETHAVERINE HYDROCHLORIDE
TOP1,DTC,AESCULIOSIDE IID
SSTR2,GuideToPharmacology,VELDOREOTIDE
SMN2,DTC,CHEMBL201325
PAK4,ChemblInteractions,PF-03758309
CD19,TTD,
CDC25B,DTC,CHEMBL1481974
MCL1,TTD,
RRM2,GuideToPharmacology,FLUDARABINE
CACNA1C,ChemblInteractions,DILTIAZEM HYDROCHLORIDE
AVPR2,GuideToPharmacology,MOZAVAPTAN
,TTD,ACETAMINOPHEN
THRB,DTC,CHEMBL592124
NFKB2,TTD,
CHRM5,GuideToPharmacology,REVEFENACIN
LCK,GuideToPharmacology,
PIM1,DTC,GO-6976
NPPC,NCI,VASOPRESSIN
SCNN1A,TdgClinicalTrial,AMILORIDE
ALK,DTC,JNJ-7706621
SYK,DTC,R-406
CPB2,GuideToPharmacology,
ABCG2,PharmGKB,SUNITINIB
MATK,DTC,PF-00562271
,TTD,SQ109
MMP8,TdgClinicalTrial,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
CDK4,GuideToPharmacology,LEROCICLIB
PTK2B,DTC,CHEMBL1576310
MAP2K5,GuideToPharmacology,
TYR,TTD,
BACE1,DTC,CHEMBL1412710
ITGAV,DTC,CILENGITIDE
SLCO1B3,PharmGKB,RUCAPARIB
HTR2C,GuideToPharmacology,TIOSPIRONE
GABRA1,ChemblInteractions,CLOBAZAM
FASLG,NCI,
CBX1,DTC,CHEMBL1256813
ESR1,ChemblInteractions,DIETHYLSTILBESTROL DIPHOSPHATE
MCHR1,GuideToPharmacology,
ALDH1A1,DTC,LIOTHYRONINE SODIUM
HRH3,ChemblInteractions,PF-03654764
FGFR3,TTD,
MC2R,NCI,
SMN1,DTC,PHENAMIL METHANESULFONATE
PRKCB,ChemblInteractions,RUBOXISTAURIN
CHRM3,GuideToPharmacology,
KCNH2,DTC,CHEMBL1623028
CHRM4,GuideToPharmacology,METHOCTRAMINE
SLC18A1,GuideToPharmacology,RESERPINE
CYP2C9,DTC,SB-202190
CDK6,ChemblInteractions,AZD-5438
GSTP1,NCI,
KDM4A,DTC,FRAXETIN
SCN9A,TTD,PF-05241328
RACGAP1,DTC,CHEMBL1504679
NTRK2,TTD,
PRKAA1,DTC,METFORMIN
HRH3,TTD,
SLC2A1,NCI,PHENYTOIN
PLA2G5,TdgClinicalTrial,VARESPLADIB
SERPINC1,TEND,SULODEXIDE
GRIK2,ChemblInteractions,SELURAMPANEL
KDM4E,DTC,CHEMBL527584
NR3C2,GuideToPharmacology,EPLERENONE
ATXN2,DTC,VINBLASTINE SULFATE
MAPT,DTC,CHEMBL2181046
KCNB1,GuideToPharmacology,
CNR1,TTD,
CCR1,GuideToPharmacology,
PPARG,TTD,IMIGLITAZAR
HLA-A,NCI,
PSMA6,DTC,CARFILZOMIB
PIK3CD,ClearityFoundationClinicalTrial,
ABL1,GuideToPharmacology,PF-114
RUNX1,DTC,IRIGENOL
LYN,DTC,GW559768X
CXCR3,GuideToPharmacology,DIOSCIN
PTPN6,NCI,
FAP,TTD,TALABOSTAT
MAPT,TTD,
GSTP1,CIViC,PACLITAXEL
CEP43,PharmGKB,BRIVANIB
GMNN,DTC,CHEMBL600692
GABRB1,ChemblInteractions,DESFLURANE
CHRND,ChemblInteractions,MIVACURIUM CHLORIDE
DHFR,NCI,TAMOXIFEN
ADORA1,GuideToPharmacology,
ADRB2,TdgClinicalTrial,CARTEOLOL
CYP3A4,DTC,CANAVANINE
HTT,DTC,RAFOXANIDE
USP1,DTC,ADAPALENE
PGR,TdgClinicalTrial,PROGESTOGEN
MAPT,DTC,CHEMBL67535
TOP2B,TTD,LUCANTHONE
S1PR1,GuideToPharmacology,
FGFR1,CIViC,
TYR,TTD,
NAT1,ChemblInteractions,
NFKB1,TdgClinicalTrial,THALIDOMIDE
NLRP3,GuideToPharmacology,
CSF3,TTD,
CYP3A4,DTC,ISOQUINE
CYP2D6,DTC,CILOSTAZOL
TRPA1,GuideToPharmacology,CHLOROPICRIN
NPR2,TEND,
EGFR,JAX-CKB,LIFIRAFENIB
HIF1A,DTC,PROMAZINE
KCNH2,DTC,NALOXONE BENZOYLHYDRAZONE
NR1I2,PharmGKB,NAFCILLIN
CA3,NCI,ISOTRETINOIN
GATA3,PharmGKB,PREDNISONE
IL3RA,TTD,
CYP3A4,DTC,CHEMBL533542
MAPK1,DTC,CHEMBL428789
EHMT2,DTC,CHEMBL1310138
,TALC,AZD-7762
GABRB2,ChemblInteractions,ALPRAZOLAM
ABCB1,PharmGKB,
MGAT2,TTD,
PARP1,TTD,
GSR,NCI,CEFOTAXIME
,TTD,AURANOFIN
IL10,PharmGKB,CYCLOSPORINE
CYP3A5,PharmGKB,ATORVASTATIN
KCNH2,DTC,PERPHENAZINE
,TTD,
CNR1,TdgClinicalTrial,DRONABINOL
NQO1,NCI,DICUMAROL
IFNG,TTD,
APLNR,GuideToPharmacology,
MMP2,NCI,
GJA1,NCI,
UBE2N,DTC,CHEMBL1448793
PIK3CB,MyCancerGenome,APITOLISIB
KRAS,JAX-CKB,PACLITAXEL
RRM2B,ClearityFoundationClinicalTrial,GEMCITABINE
CHEK1,TALC,AZD-7762
,TTD,LIDOFLAZINE
NFE2L2,DTC,CYCLOASPEPTIDE A
PIK3CA,JAX-CKB,OSI-027
EHMT2,DTC,CHEMBL122355
TYMS,PharmGKB,
,TTD,VADADUSTAT
OXTR,TTD,
PRKD3,DTC,PD-0166285
,TTD,
LRRK2,TTD,
GABRR2,TdgClinicalTrial,FLURAZEPAM
TXK,GuideToPharmacology,IBRUTINIB
FPR1,GuideToPharmacology,
YES1,DTC,CANERTINIB
PRKAA1,DTC,CHEMBL1997335
ABCB1,PharmGKB,ZIDOVUDINE
FGFR2,ChemblInteractions,TG100-801
FYN,DTC,CYC-116
F2,TEND,BIVALIRUDIN
NPY4R,GuideToPharmacology,
MAPT,DTC,CHEMBL227959
FGFR4,ChemblInteractions,INFIGRATINIB
FPR3,GuideToPharmacology,
CASR,TTD,ASP7991
NR3C1,ChemblInteractions,HYDROCORTISONE ACETATE
GABRA5,TdgClinicalTrial,LORAZEPAM
GRIN2B,GuideToPharmacology,GLYCINE
ERBB2,TALC,AFATINIB
DRD4,GuideToPharmacology,
TSPO,TTD,CLOTIAZEPAM
AR,DTC,MITOMYCIN
YES1,DTC,CHEMBL269450
MAPT,DTC,MACLURAXANTHONE
CDK4,PharmGKB,
BAZ2B,DTC,CHEMBL588038
FPGS,PharmGKB,METHOTREXATE
GRM1,NCI,
BAZ2B,DTC,CEPHALOCHROMIN
TET2,JAX-CKB,
AURKA,ClearityFoundationClinicalTrial,AMG-900
NFE2L2,DTC,BUTACHLOR
GABRG3,ChemblInteractions,THIOPENTAL SODIUM
FGFR4,CIViC,
PLAU,NCI,BLEOMYCIN
BACE1,GuideToPharmacology,
LRRK2,DTC,VANDETANIB
SLC5A7,DTC,HONOKIOL
OPRL1,GuideToPharmacology,
NFE2L2,DTC,BENZO[E]PYRENE
MAPT,DTC,CHEMBL457504
ABHD6,TTD,
ALDH1A1,DTC,PIPOBROMAN
,TTD,
CCKBR,GuideToPharmacology,NASTORAZEPIDE CALCIUM
DNER,TTD,
GABRG3,TdgClinicalTrial,
PTH2R,TTD,
GABRA1,TEND,LORAZEPAM
UGT1A4,PharmGKB,MIDAZOLAM
MET,JAX-CKB,PILARALISIB
FLT1,GuideToPharmacology,RG-1530
EIF2AK2,NCI,BCG VACCINE
NTRK2,CIViC,LAROTRECTINIB
DHFR,TTD,ICLAPRIM
CYP2D6,DTC,CHEMBL601135
TP53,DTC,CHEMBL35482
RELA,NCI,
GABRB2,ChemblInteractions,MEPROBAMATE
GRIN3A,TdgClinicalTrial,FELBAMATE
SLC2A4,NCI,SORBITOL
SLC28A2,PharmGKB,RIBAVIRIN
FGFR4,TdgClinicalTrial,
ENO2,NCI,GABAPENTIN
ABCB1,PharmGKB,ELACRIDAR
NTSR1,GuideToPharmacology,REMINERTANT
RAPGEF3,DTC,CHEMBL601757
OPRK1,GuideToPharmacology,CEBRANOPADOL
FAAH,TTD,
RGS4,DTC,LEUKOTRIENE D4
,TTD,
OPRM1,GuideToPharmacology,
CLCNKA,GuideToPharmacology,
ADRB1,TTD,LEVOBUNOLOL
HCRTR2,TTD,
SLC12A3,PharmGKB,
TOP2A,TEND,PODOFILOX
,TTD,ABT-072
HDAC7,ChemblInteractions,TACEDINALINE
LINC00251,PharmGKB,DEXAMETHASONE
APAF1,DTC,CHEMBL1098875
DRD3,TTD,
HTR3A,TTD,LITOXETINE
TP53,JAX-CKB,
PTGS2,TdgClinicalTrial,SALSALATE
EHMT2,DTC,IBUFENAC
,TTD,DASOTRALINE
PKN2,DTC,TAE-684
NTRK1,TTD,
CACNG1,TEND,NIMODIPINE
POLK,DTC,ARACHIDONIC ACID
PIK3R3,MyCancerGenome,DACTOLISIB
AR,DTC,NANDROLONE PHENPROPIONATE
IL6,NCI,INSULIN
MAPT,DTC,ETHOPROPAZINE HYDROCHLORIDE
RARA,NCI,
CYP2D6,PharmGKB,DARIFENACIN
GAA,DTC,RUTIN
IFNAR1,ChemblInteractions,PEGINTERFERON ALFA-2A
HIPK2,DTC,CHEMBL541400
DRD1,GuideToPharmacology,
FEN1,DTC,OXOGLAUCINE
ATXN2,DTC,FLUPENTIXOL
CYP2C9,DTC,CHEMBL584854
NR3C1,DTC,CHEMBL1275761
NFE2L2,DTC,VORINOSTAT
BRD1,GuideToPharmacology,
BRD2,NCI,
ADORA3,GuideToPharmacology,
VWF,NCI,ACETYLCYSTEINE
HTR3C,TdgClinicalTrial,DOLASETRON
,TTD,
CYP2C19,DTC,ASARININ
MAPK13,DTC,LINIFANIB
ABL1,TTD,
HNF4A,NCI,ROSIGLITAZONE
LHCGR,GuideToPharmacology,CHORIOGONADOTROPIN ALFA
PAH,TdgClinicalTrial,SAPROPTERIN
VEGFA,TTD,
CYP1A2,DTC,FLUNISOLIDE
PHEX,NCI,
KCNH2,DTC,PROMAZINE HYDROCHLORIDE
PDE4A,TTD,
GABRA5,TdgClinicalTrial,ESTAZOLAM
WEE1,DTC,CYC-116
RAD52,DTC,CHEMBL1092508
NFE2L2,DTC,CHEMBL275260
KDM4D,DTC,N-OXALYLGLYCINE
APEX1,DTC,STICTIC ACID
,TTD,
KLC1,PharmGKB,LEUCOVORIN
PRKCA,TTD,
NCOA3,DTC,CYTARABINE
CBFB,DTC,DISULFIRAM
SLC15A1,GuideToPharmacology,
FDPS,GuideToPharmacology,
BGLAP,NCI,ISOFLAVONE
GRIN2C,GuideToPharmacology,
GMNN,DTC,MEBENDAZOLE
RAB9A,DTC,CHEMBL1326164
IL1B,NCI,LITHIUM
CSF3R,JAX-CKB,
P2RY1,GuideToPharmacology,
CSF2,NCI,
CCR9,TTD,
NPC1,DTC,CHEMBL563919
ADRB1,DTC,ACEBUTOLOL
NDUFC2,ChemblInteractions,METFORMIN HYDROCHLORIDE
IGF1R,ChemblInteractions,CIXUTUMUMAB
AKT1,TdgClinicalTrial,PERIFOSINE
PIK3CG,NCI,CLOZAPINE
BAZ2B,DTC,MORIN
PDE4D,ChemblInteractions,PENTOXIFYLLINE
JAK3,TTD,
MTHFR,PharmGKB,BEVACIZUMAB
GABRA5,GuideToPharmacology,
POLK,DTC,"LIPOIC ACID, ALPHA"
HRH1,TTD,AZATADINE
FLT4,ChemblInteractions,4SC-203
PLG,NCI,
PTEN,CIViC,ALPELISIB
KDR,ChemblInteractions,SEMAXANIB
CYP2C19,DTC,"N,N-HEXAMETHYLENEAMILORIDE"
CD276,TTD,
ITGAL,NCI,
IRAK1,TTD,
PTGER1,TTD,BUTAPROST
GFER,DTC,CHEMBL584514
FTO,PharmGKB,ATENOLOL
RELA,DTC,GOSSYPETIN
ATM,DTC,METHYLTHIONINIUM CHLORIDE
GABRA2,ChemblInteractions,RESEQUINIL
COL4A1,ChemblInteractions,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
FGFR3,TdgClinicalTrial,FP-1039
BRSK1,DTC,PF-00562271
NOS1,NCI,BCG VACCINE
MTNR1A,TEND,RAMELTEON
GABRB1,TEND,CLOTIAZEPAM
GMNN,DTC,BREFELDIN A
TOP1,DTC,DOXORUBICIN
CACNG7,ChemblInteractions,ATAGABALIN
TRPC5,GuideToPharmacology,
HDAC10,DTC,DAUNORUBICIN
TNFRSF10B,TALC,DULANERMIN
CPD,NCI,
,TTD,DAPSONE
KCNH2,DTC,CHEMBL583555
MET,TTD,
PIM3,TTD,
BRAF,ChemblInteractions,RG-7256
GABRR3,TdgClinicalTrial,CHLORDIAZEPOXIDE
SCN4A,ChemblInteractions,LIDOCAINE HYDROCHLORIDE
SCD,TTD,MK-8245
MAPT,DTC,CHEMBL146710
CYP3A4,NCI,METRONIDAZOLE
EGFR,ChemblInteractions,CEP-32496
KRAS,JAX-CKB,AZD-8186
NTRK1,PharmGKB,PRASUGREL
MAP4K2,DTC,CHEMBL117217
IDO1,TTD,
IMPDH1,TdgClinicalTrial,
CDK2,TTD,
CYP2D6,DTC,CHLORPROMAZINE
FLT3,GuideToPharmacology,MIDOSTAURIN
VEGFA,PharmGKB,REGORAFENIB
ITGA2B,TEND,TIROFIBAN
TUBB2A,DTC,NOCODAZOLE
AQP3,GuideToPharmacology,
ADORA2B,GuideToPharmacology,BINODENOSON
ROS1,CIViC,FORETINIB
CYP2C19,DTC,CHEMBL601135
ALK,TTD,ASP-3026
SLC6A3,TTD,
GABRA2,ChemblInteractions,METHOHEXITAL SODIUM
GABRA3,ChemblInteractions,TALBUTAL
ALDH1A1,DTC,LINOLENIC ACID
TXNRD1,TTD,
ESR1,DTC,METHIOCARB
HLA-DRB1,PharmGKB,CLAVULANIC ACID
GSK3B,GuideToPharmacology,
SLC22A11,TdgClinicalTrial,PROBENECID
NRAS,OncoKB,COBIMETINIB
RORC,DTC,CATECHOL
HRH3,PharmGKB,RISPERIDONE
POLH,DTC,TALAROFLAVONE
PRL,NCI,PILOCARPINE
RARA,NCI,
KCNQ3,ChemblInteractions,DALFAMPRIDINE
,ClearityFoundationClinicalTrial,
TGFB1,ChemblInteractions,FRESOLIMUMAB
HDAC3,TTD,
PLA2G7,GuideToPharmacology,
EGFR,JAX-CKB,
NRAS,OncoKB,BINIMETINIB
SRC,GuideToPharmacology,
CTSS,TTD,
F9,TdgClinicalTrial,
CD274,ChemblInteractions,ATEZOLIZUMAB
ERBB2,GuideToPharmacology,CP-724714
ROR2,TTD,
PRKCA,GuideToPharmacology,CHEMBL1236539
G6PD,FDA,SUCCIMER
NDUFS3,ChemblInteractions,ME-344
THRB,ChemblInteractions,MB07811
ADRB1,TdgClinicalTrial,ALPRENOLOL
EHMT2,DTC,CEFOTAXIME SODIUM
PDE5A,ChemblInteractions,SILDENAFIL CITRATE
KCNH2,DTC,BUTACLAMOL HYDROCHLORIDE
TYR,TTD,
RAF1,GuideToPharmacology,
MAPK10,TTD,
DPP8,GuideToPharmacology,TENELIGLIPTIN
KDM4A,DTC,CHEMBL1486366
MGMT,NCI,CISPLATIN
TAT,NCI,
MAPK1,DTC,CHEMBL184074
ABCB1,NCI,ATAZANAVIR
KLK3,TTD,
DHFR,DTC,PYRIMETHAMINE
FCGR3A,NCI,TESMILIFENE HYDROCHLORIDE
SLC12A3,TdgClinicalTrial,BENDROFLUMETHIAZIDE
VIPR2,GuideToPharmacology,
GMNN,DTC,CHEMBL601351
KDM1A,GuideToPharmacology,
RET,TTD,
KDM4A,DTC,PARAROSANILINE
HDAC10,DTC,LARGAZOLE
MAP2K1,TALC,
CHRM2,GuideToPharmacology,
FDPS,TTD,IBANDRONIC ACID
CTSB,GuideToPharmacology,
HRH1,GuideToPharmacology,ASTEMIZOLE
POLI,DTC,CHEMBL1256813
,TTD,
CYP3A4,PharmGKB,QUETIAPINE
BAX,NCI,BCG VACCINE
ATM,GuideToPharmacology,KU-55933
SIK1,GuideToPharmacology,BOSUTINIB
ERBB2,ChemblInteractions,MDX-210
PSMB6,ChemblInteractions,BORTEZOMIB
HCK,GuideToPharmacology,PEXMETINIB
INSR,ChemblInteractions,INSULIN PEGLISPRO
